[2026-06-04 06:51:23] iteration        1/  100000 | consumed samples:        16384 | elapsed time per iteration (ms): 446213.5 | throughput per GPU (TFLOP/s/GPU): 36.7 | learning rate: 2.000000E-07 | global batch size: 16384 | lm loss: 1.319770E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.580 | num zeros: 262293552.0 | params norm: 13415.513 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:31:29] iteration      128/  100000 | consumed samples:      2097152 | elapsed time per iteration (ms): 45920.2 | throughput per GPU (TFLOP/s/GPU): 356.5 | learning rate: 2.560000E-05 | global batch size: 16384 | lm loss: 6.064851E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.757 | num zeros: 254015696.0 | params norm: 13414.598 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:32:15] iteration      129/  100000 | consumed samples:      2113536 | elapsed time per iteration (ms): 45742.1 | throughput per GPU (TFLOP/s/GPU): 357.9 | learning rate: 2.580000E-05 | global batch size: 16384 | lm loss: 6.081399E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.332 | num zeros: 264358576.0 | params norm: 13414.569 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:33:02] iteration      130/  100000 | consumed samples:      2129920 | elapsed time per iteration (ms): 47240.4 | throughput per GPU (TFLOP/s/GPU): 346.6 | learning rate: 2.600000E-05 | global batch size: 16384 | lm loss: 6.038381E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 3.741 | num zeros: 277257312.0 | params norm: 13414.539 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:33:48] iteration      131/  100000 | consumed samples:      2146304 | elapsed time per iteration (ms): 45980.6 | throughput per GPU (TFLOP/s/GPU): 356.1 | learning rate: 2.620000E-05 | global batch size: 16384 | lm loss: 6.028636E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.426 | num zeros: 275300064.0 | params norm: 13414.509 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:34:35] iteration      132/  100000 | consumed samples:      2162688 | elapsed time per iteration (ms): 46355.5 | throughput per GPU (TFLOP/s/GPU): 353.2 | learning rate: 2.640000E-05 | global batch size: 16384 | lm loss: 5.987505E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.609 | num zeros: 283732352.0 | params norm: 13414.478 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:35:22] iteration      133/  100000 | consumed samples:      2179072 | elapsed time per iteration (ms): 47599.7 | throughput per GPU (TFLOP/s/GPU): 343.9 | learning rate: 2.660000E-05 | global batch size: 16384 | lm loss: 5.996814E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 6.326 | num zeros: 266428768.0 | params norm: 13414.447 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:36:08] iteration      134/  100000 | consumed samples:      2195456 | elapsed time per iteration (ms): 46324.9 | throughput per GPU (TFLOP/s/GPU): 353.4 | learning rate: 2.680000E-05 | global batch size: 16384 | lm loss: 6.005338E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.056 | num zeros: 275823712.0 | params norm: 13414.415 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:36:54] iteration      135/  100000 | consumed samples:      2211840 | elapsed time per iteration (ms): 45931.5 | throughput per GPU (TFLOP/s/GPU): 356.4 | learning rate: 2.700000E-05 | global batch size: 16384 | lm loss: 5.970303E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.185 | num zeros: 265132624.0 | params norm: 13414.384 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:37:41] iteration      136/  100000 | consumed samples:      2228224 | elapsed time per iteration (ms): 46472.7 | throughput per GPU (TFLOP/s/GPU): 352.3 | learning rate: 2.720000E-05 | global batch size: 16384 | lm loss: 5.941424E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.461 | num zeros: 261966624.0 | params norm: 13414.352 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:38:27] iteration      137/  100000 | consumed samples:      2244608 | elapsed time per iteration (ms): 46065.1 | throughput per GPU (TFLOP/s/GPU): 355.4 | learning rate: 2.740000E-05 | global batch size: 16384 | lm loss: 5.921400E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.954 | num zeros: 257088624.0 | params norm: 13414.318 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:39:13] iteration      138/  100000 | consumed samples:      2260992 | elapsed time per iteration (ms): 45955.3 | throughput per GPU (TFLOP/s/GPU): 356.3 | learning rate: 2.760000E-05 | global batch size: 16384 | lm loss: 5.909434E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.102 | num zeros: 261643520.0 | params norm: 13414.286 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:40:00] iteration      139/  100000 | consumed samples:      2277376 | elapsed time per iteration (ms): 46793.2 | throughput per GPU (TFLOP/s/GPU): 349.9 | learning rate: 2.780000E-05 | global batch size: 16384 | lm loss: 5.916039E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 3.469 | num zeros: 260779376.0 | params norm: 13414.252 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:40:47] iteration      140/  100000 | consumed samples:      2293760 | elapsed time per iteration (ms): 47610.0 | throughput per GPU (TFLOP/s/GPU): 343.9 | learning rate: 2.800000E-05 | global batch size: 16384 | lm loss: 5.881367E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.711 | num zeros: 265751024.0 | params norm: 13414.218 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:41:34] iteration      141/  100000 | consumed samples:      2310144 | elapsed time per iteration (ms): 46541.3 | throughput per GPU (TFLOP/s/GPU): 351.8 | learning rate: 2.820000E-05 | global batch size: 16384 | lm loss: 5.861879E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.488 | num zeros: 271589504.0 | params norm: 13414.184 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:42:20] iteration      142/  100000 | consumed samples:      2326528 | elapsed time per iteration (ms): 46110.6 | throughput per GPU (TFLOP/s/GPU): 355.1 | learning rate: 2.840000E-05 | global batch size: 16384 | lm loss: 5.875857E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 4.072 | num zeros: 265156192.0 | params norm: 13414.148 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:43:07] iteration      143/  100000 | consumed samples:      2342912 | elapsed time per iteration (ms): 47009.7 | throughput per GPU (TFLOP/s/GPU): 348.3 | learning rate: 2.860000E-05 | global batch size: 16384 | lm loss: 5.859958E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.138 | num zeros: 270830944.0 | params norm: 13414.113 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:43:53] iteration      144/  100000 | consumed samples:      2359296 | elapsed time per iteration (ms): 45542.7 | throughput per GPU (TFLOP/s/GPU): 359.5 | learning rate: 2.880000E-05 | global batch size: 16384 | lm loss: 5.837889E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.304 | num zeros: 263007232.0 | params norm: 13414.076 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:44:39] iteration      145/  100000 | consumed samples:      2375680 | elapsed time per iteration (ms): 46281.0 | throughput per GPU (TFLOP/s/GPU): 353.7 | learning rate: 2.900000E-05 | global batch size: 16384 | lm loss: 5.839930E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.704 | num zeros: 272584704.0 | params norm: 13414.039 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:45:26] iteration      146/  100000 | consumed samples:      2392064 | elapsed time per iteration (ms): 47183.4 | throughput per GPU (TFLOP/s/GPU): 347.0 | learning rate: 2.920000E-05 | global batch size: 16384 | lm loss: 5.818951E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.649 | num zeros: 278933856.0 | params norm: 13414.002 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:46:12] iteration      147/  100000 | consumed samples:      2408448 | elapsed time per iteration (ms): 46113.2 | throughput per GPU (TFLOP/s/GPU): 355.0 | learning rate: 2.940000E-05 | global batch size: 16384 | lm loss: 5.767465E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.363 | num zeros: 271453600.0 | params norm: 13413.963 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:46:58] iteration      148/  100000 | consumed samples:      2424832 | elapsed time per iteration (ms): 45926.8 | throughput per GPU (TFLOP/s/GPU): 356.5 | learning rate: 2.960000E-05 | global batch size: 16384 | lm loss: 5.798953E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.555 | num zeros: 258435360.0 | params norm: 13413.925 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:47:44] iteration      149/  100000 | consumed samples:      2441216 | elapsed time per iteration (ms): 46298.2 | throughput per GPU (TFLOP/s/GPU): 353.6 | learning rate: 2.980000E-05 | global batch size: 16384 | lm loss: 5.763692E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.573 | num zeros: 266775632.0 | params norm: 13413.885 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:48:30] iteration      150/  100000 | consumed samples:      2457600 | elapsed time per iteration (ms): 45862.8 | throughput per GPU (TFLOP/s/GPU): 357.0 | learning rate: 3.000000E-05 | global batch size: 16384 | lm loss: 5.753347E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.279 | num zeros: 275832224.0 | params norm: 13413.846 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:49:16] iteration      151/  100000 | consumed samples:      2473984 | elapsed time per iteration (ms): 45880.9 | throughput per GPU (TFLOP/s/GPU): 356.8 | learning rate: 3.020000E-05 | global batch size: 16384 | lm loss: 5.787460E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 3.306 | num zeros: 276497920.0 | params norm: 13413.805 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:50:03] iteration      152/  100000 | consumed samples:      2490368 | elapsed time per iteration (ms): 46526.7 | throughput per GPU (TFLOP/s/GPU): 351.9 | learning rate: 3.040000E-05 | global batch size: 16384 | lm loss: 5.768860E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.756 | num zeros: 281103520.0 | params norm: 13413.764 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:50:50] iteration      153/  100000 | consumed samples:      2506752 | elapsed time per iteration (ms): 47785.1 | throughput per GPU (TFLOP/s/GPU): 342.6 | learning rate: 3.060000E-05 | global batch size: 16384 | lm loss: 5.770022E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 4.085 | num zeros: 272481856.0 | params norm: 13413.721 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:51:36] iteration      154/  100000 | consumed samples:      2523136 | elapsed time per iteration (ms): 46075.3 | throughput per GPU (TFLOP/s/GPU): 355.3 | learning rate: 3.080000E-05 | global batch size: 16384 | lm loss: 5.746306E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.141 | num zeros: 280407552.0 | params norm: 13413.678 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:52:23] iteration      155/  100000 | consumed samples:      2539520 | elapsed time per iteration (ms): 46494.6 | throughput per GPU (TFLOP/s/GPU): 352.1 | learning rate: 3.100000E-05 | global batch size: 16384 | lm loss: 5.751963E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.811 | num zeros: 273689216.0 | params norm: 13413.634 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:53:10] iteration      156/  100000 | consumed samples:      2555904 | elapsed time per iteration (ms): 47018.2 | throughput per GPU (TFLOP/s/GPU): 348.2 | learning rate: 3.120000E-05 | global batch size: 16384 | lm loss: 5.739282E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.226 | num zeros: 262452160.0 | params norm: 13413.589 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:53:56] iteration      157/  100000 | consumed samples:      2572288 | elapsed time per iteration (ms): 45786.1 | throughput per GPU (TFLOP/s/GPU): 357.6 | learning rate: 3.140000E-05 | global batch size: 16384 | lm loss: 5.713757E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.270 | num zeros: 265720224.0 | params norm: 13413.543 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:54:42] iteration      158/  100000 | consumed samples:      2588672 | elapsed time per iteration (ms): 46645.4 | throughput per GPU (TFLOP/s/GPU): 351.0 | learning rate: 3.160000E-05 | global batch size: 16384 | lm loss: 5.692881E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.433 | num zeros: 279182016.0 | params norm: 13413.497 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:55:29] iteration      159/  100000 | consumed samples:      2605056 | elapsed time per iteration (ms): 47075.7 | throughput per GPU (TFLOP/s/GPU): 347.8 | learning rate: 3.180000E-05 | global batch size: 16384 | lm loss: 5.678495E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.245 | num zeros: 265091632.0 | params norm: 13413.449 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:56:16] iteration      160/  100000 | consumed samples:      2621440 | elapsed time per iteration (ms): 46298.7 | throughput per GPU (TFLOP/s/GPU): 353.6 | learning rate: 3.200000E-05 | global batch size: 16384 | lm loss: 5.668283E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.018 | num zeros: 265528848.0 | params norm: 13413.400 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:57:02] iteration      161/  100000 | consumed samples:      2637824 | elapsed time per iteration (ms): 46194.8 | throughput per GPU (TFLOP/s/GPU): 354.4 | learning rate: 3.220000E-05 | global batch size: 16384 | lm loss: 5.651278E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.615 | num zeros: 269211008.0 | params norm: 13413.351 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:57:48] iteration      162/  100000 | consumed samples:      2654208 | elapsed time per iteration (ms): 46482.6 | throughput per GPU (TFLOP/s/GPU): 352.2 | learning rate: 3.240000E-05 | global batch size: 16384 | lm loss: 5.623271E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.164 | num zeros: 266072656.0 | params norm: 13413.301 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:58:34] iteration      163/  100000 | consumed samples:      2670592 | elapsed time per iteration (ms): 45603.5 | throughput per GPU (TFLOP/s/GPU): 359.0 | learning rate: 3.260000E-05 | global batch size: 16384 | lm loss: 5.650609E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.748 | num zeros: 271576736.0 | params norm: 13413.250 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 08:59:20] iteration      164/  100000 | consumed samples:      2686976 | elapsed time per iteration (ms): 45859.0 | throughput per GPU (TFLOP/s/GPU): 357.0 | learning rate: 3.280000E-05 | global batch size: 16384 | lm loss: 5.611709E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.372 | num zeros: 275670304.0 | params norm: 13413.199 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:00:07] iteration      165/  100000 | consumed samples:      2703360 | elapsed time per iteration (ms): 47082.3 | throughput per GPU (TFLOP/s/GPU): 347.7 | learning rate: 3.300000E-05 | global batch size: 16384 | lm loss: 5.650069E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 5.037 | num zeros: 259805408.0 | params norm: 13413.148 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:00:55] iteration      166/  100000 | consumed samples:      2719744 | elapsed time per iteration (ms): 47754.3 | throughput per GPU (TFLOP/s/GPU): 342.8 | learning rate: 3.320000E-05 | global batch size: 16384 | lm loss: 5.658851E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.174 | num zeros: 252946208.0 | params norm: 13413.095 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:01:41] iteration      167/  100000 | consumed samples:      2736128 | elapsed time per iteration (ms): 45846.1 | throughput per GPU (TFLOP/s/GPU): 357.1 | learning rate: 3.340000E-05 | global batch size: 16384 | lm loss: 5.617179E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.199 | num zeros: 276201664.0 | params norm: 13413.044 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:02:27] iteration      168/  100000 | consumed samples:      2752512 | elapsed time per iteration (ms): 46266.0 | throughput per GPU (TFLOP/s/GPU): 353.9 | learning rate: 3.360000E-05 | global batch size: 16384 | lm loss: 5.595809E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.286 | num zeros: 271890464.0 | params norm: 13412.991 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:03:13] iteration      169/  100000 | consumed samples:      2768896 | elapsed time per iteration (ms): 46611.2 | throughput per GPU (TFLOP/s/GPU): 351.2 | learning rate: 3.380000E-05 | global batch size: 16384 | lm loss: 5.564252E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.378 | num zeros: 270679872.0 | params norm: 13412.937 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:03:59] iteration      170/  100000 | consumed samples:      2785280 | elapsed time per iteration (ms): 45691.7 | throughput per GPU (TFLOP/s/GPU): 358.3 | learning rate: 3.400000E-05 | global batch size: 16384 | lm loss: 5.582387E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 5.701 | num zeros: 271300032.0 | params norm: 13412.885 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:04:46] iteration      171/  100000 | consumed samples:      2801664 | elapsed time per iteration (ms): 46728.3 | throughput per GPU (TFLOP/s/GPU): 350.4 | learning rate: 3.420000E-05 | global batch size: 16384 | lm loss: 5.572207E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.745 | num zeros: 273911008.0 | params norm: 13412.833 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:05:33] iteration      172/  100000 | consumed samples:      2818048 | elapsed time per iteration (ms): 47219.5 | throughput per GPU (TFLOP/s/GPU): 346.7 | learning rate: 3.440000E-05 | global batch size: 16384 | lm loss: 5.545521E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.851 | num zeros: 268811424.0 | params norm: 13412.780 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:06:19] iteration      173/  100000 | consumed samples:      2834432 | elapsed time per iteration (ms): 46028.1 | throughput per GPU (TFLOP/s/GPU): 355.7 | learning rate: 3.460000E-05 | global batch size: 16384 | lm loss: 5.525651E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.439 | num zeros: 268558208.0 | params norm: 13412.726 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:07:05] iteration      174/  100000 | consumed samples:      2850816 | elapsed time per iteration (ms): 45931.5 | throughput per GPU (TFLOP/s/GPU): 356.4 | learning rate: 3.480000E-05 | global batch size: 16384 | lm loss: 5.515417E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.855 | num zeros: 284285728.0 | params norm: 13412.673 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:07:51] iteration      175/  100000 | consumed samples:      2867200 | elapsed time per iteration (ms): 46314.2 | throughput per GPU (TFLOP/s/GPU): 353.5 | learning rate: 3.500000E-05 | global batch size: 16384 | lm loss: 5.482604E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.030 | num zeros: 268895392.0 | params norm: 13412.619 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:08:37] iteration      176/  100000 | consumed samples:      2883584 | elapsed time per iteration (ms): 45938.7 | throughput per GPU (TFLOP/s/GPU): 356.4 | learning rate: 3.520000E-05 | global batch size: 16384 | lm loss: 5.489917E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 3.744 | num zeros: 275644480.0 | params norm: 13412.565 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:09:23] iteration      177/  100000 | consumed samples:      2899968 | elapsed time per iteration (ms): 46008.1 | throughput per GPU (TFLOP/s/GPU): 355.8 | learning rate: 3.540000E-05 | global batch size: 16384 | lm loss: 5.486106E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.873 | num zeros: 287120000.0 | params norm: 13412.509 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:10:10] iteration      178/  100000 | consumed samples:      2916352 | elapsed time per iteration (ms): 47104.1 | throughput per GPU (TFLOP/s/GPU): 347.6 | learning rate: 3.560000E-05 | global batch size: 16384 | lm loss: 5.467330E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.382 | num zeros: 278731776.0 | params norm: 13412.454 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:10:57] iteration      179/  100000 | consumed samples:      2932736 | elapsed time per iteration (ms): 46521.9 | throughput per GPU (TFLOP/s/GPU): 351.9 | learning rate: 3.580000E-05 | global batch size: 16384 | lm loss: 5.475209E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.780 | num zeros: 270985408.0 | params norm: 13412.398 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:11:43] iteration      180/  100000 | consumed samples:      2949120 | elapsed time per iteration (ms): 45931.6 | throughput per GPU (TFLOP/s/GPU): 356.4 | learning rate: 3.600000E-05 | global batch size: 16384 | lm loss: 5.493922E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.854 | num zeros: 266129792.0 | params norm: 13412.343 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:12:29] iteration      181/  100000 | consumed samples:      2965504 | elapsed time per iteration (ms): 46523.0 | throughput per GPU (TFLOP/s/GPU): 351.9 | learning rate: 3.620000E-05 | global batch size: 16384 | lm loss: 5.433343E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.164 | num zeros: 268329248.0 | params norm: 13412.286 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:13:16] iteration      182/  100000 | consumed samples:      2981888 | elapsed time per iteration (ms): 46260.8 | throughput per GPU (TFLOP/s/GPU): 353.9 | learning rate: 3.640000E-05 | global batch size: 16384 | lm loss: 5.447114E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.341 | num zeros: 267412416.0 | params norm: 13412.229 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:14:01] iteration      183/  100000 | consumed samples:      2998272 | elapsed time per iteration (ms): 45607.6 | throughput per GPU (TFLOP/s/GPU): 359.0 | learning rate: 3.660000E-05 | global batch size: 16384 | lm loss: 5.448315E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.736 | num zeros: 270445536.0 | params norm: 13412.172 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:14:48] iteration      184/  100000 | consumed samples:      3014656 | elapsed time per iteration (ms): 46577.4 | throughput per GPU (TFLOP/s/GPU): 351.5 | learning rate: 3.680000E-05 | global batch size: 16384 | lm loss: 5.449841E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.453 | num zeros: 259087648.0 | params norm: 13412.113 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:15:35] iteration      185/  100000 | consumed samples:      3031040 | elapsed time per iteration (ms): 47271.2 | throughput per GPU (TFLOP/s/GPU): 346.3 | learning rate: 3.700000E-05 | global batch size: 16384 | lm loss: 5.449536E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.705 | num zeros: 277124736.0 | params norm: 13412.055 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:16:21] iteration      186/  100000 | consumed samples:      3047424 | elapsed time per iteration (ms): 46293.8 | throughput per GPU (TFLOP/s/GPU): 353.6 | learning rate: 3.720000E-05 | global batch size: 16384 | lm loss: 5.421659E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.655 | num zeros: 264940048.0 | params norm: 13411.996 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:17:07] iteration      187/  100000 | consumed samples:      3063808 | elapsed time per iteration (ms): 46036.4 | throughput per GPU (TFLOP/s/GPU): 355.6 | learning rate: 3.740000E-05 | global batch size: 16384 | lm loss: 5.434421E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 3.200 | num zeros: 274938720.0 | params norm: 13411.936 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:17:54] iteration      188/  100000 | consumed samples:      3080192 | elapsed time per iteration (ms): 46918.7 | throughput per GPU (TFLOP/s/GPU): 348.9 | learning rate: 3.760000E-05 | global batch size: 16384 | lm loss: 5.423929E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 2.816 | num zeros: 263770016.0 | params norm: 13411.876 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:18:40] iteration      189/  100000 | consumed samples:      3096576 | elapsed time per iteration (ms): 45562.3 | throughput per GPU (TFLOP/s/GPU): 359.3 | learning rate: 3.780000E-05 | global batch size: 16384 | lm loss: 5.388010E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.118 | num zeros: 256659872.0 | params norm: 13411.814 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 09:19:26] iteration      190/  100000 | consumed samples:      3112960 | elapsed time per iteration (ms): 46026.3 | throughput per GPU (TFLOP/s/GPU): 355.7 | learning rate: 3.800000E-05 | global batch size: 16384 | lm loss: 5.361626E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 2.222 | num zeros: 267607104.0 | params norm: 13411.752 | number of skipped iterations:   0 | number of nan iterations:   0 |
